Genres List,Image Book Cover Url,Book Title,Author Name,Rating,No Of Rating,Amazon Link,No Of Pages,Detail Url
"Fiction, Dystopia, Fantasy, School, Literature, Science Fiction, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,Animal Farm,George Orwell,4.0,4250516,https://www.amazon.com/gp/product/B08Y62VW9M/,141,https://www.goodreads.com/book/show/170448.Animal_Farm
"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg,The Little Prince,Antoine de Saint-Exupéry,4.33,2315252,https://www.amazon.com/gp/product/B0BPR1HQGX/,96,https://www.goodreads.com/book/show/157993.The_Little_Prince
"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139994,https://www.amazon.com/gp/product/B09JF7NBT4/,1728,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
"Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865.jpg,Twilight,Stephenie Meyer,3.66,7024585,https://www.amazon.com/gp/product/B000QRIGLW/,498,https://www.goodreads.com/book/show/41865.Twilight
"Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,Pride and Prejudice,Jane Austen,4.29,4534202,https://www.amazon.com/gp/product/B09F9LRW8Y/,279,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
"Historical Fiction, Fiction, Young Adult, Classics, Historical, Book Club, War",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,The Book Thief,Markus Zusak,4.39,2756781,https://www.amazon.com/gp/product/B000XUBFE2/,592,https://www.goodreads.com/book/show/19063.The_Book_Thief
"Fantasy, Young Adult, Fiction, Magic, Audiobook, Childrens, Adventure",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3630813,https://www.amazon.com/gp/product/B08GX7WNLR/,912,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
"Young Adult, Fiction, Contemporary, Realistic Fiction, Book Club, Coming Of Age, Teen",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085.jpg,The Fault in Our Stars,John Green,4.13,5497766,https://www.amazon.com/gp/product/B005ZOBNOI/,313,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
"Historical Fiction, School, Literature, Young Adult, Historical, Read For School, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,To Kill a Mockingbird,Harper Lee,4.26,6578466,https://www.amazon.com/gp/product/B00K0OI42W/,323,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Thriller, Crime",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938.jpg,The Lovely Bones,Alice Sebold,3.86,2425026,https://www.amazon.com/gp/product/B000FA5TTW/,372,https://www.goodreads.com/book/show/12232938-the-lovely-bones
"Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg,Where the Wild Things Are,Maurice Sendak,4.25,1036031,,38,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772.jpg,Green Eggs and Ham,Dr. Seuss,4.31,819641,https://www.amazon.com/gp/product/B00ESF277M/,64,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
"Horror, Fiction, Science Fiction, Gothic, Fantasy, School, Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085.jpg,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.89,1736240,,260,https://www.goodreads.com/book/show/35031085-frankenstein
"Fiction, Classics, Historical Fiction, Literature, Adventure, Young Adult, School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956.jpg,The Adventures of Huckleberry Finn,Mark Twain,3.83,1306684,https://www.amazon.com/gp/product/B07VPFB6WX/,327,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
"Fiction, Classics, Dystopia, Science Fiction, Feminism, Book Club, Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,The Handmaid’s Tale,Margaret Atwood,4.15,2251180,https://www.amazon.com/gp/product/B003JFJHTS/,311,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
"Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,4584892,https://www.amazon.com/gp/product/B0192CTMX2/,435,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,A Wrinkle in Time,Madeleine L'Engle,3.98,1249099,https://www.amazon.com/gp/product/B076H4XLBR/,218,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
"Fiction, Historical Fiction, Contemporary, Book Club, Novels, Historical, School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203.jpg,The Kite Runner,Khaled Hosseini,4.35,3347113,https://www.amazon.com/gp/product/B000OCXGZA/,371,https://www.goodreads.com/book/show/77203.The_Kite_Runner
