Genres List,Image Book Cover Url,Book Title,Author Name,Rating,No Of Rating,Amazon Link,No Of Pages,Detail Url
"Young Adult, Romance, Contemporary, Realistic Fiction, Fiction, Teen, Chick Lit",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479868327i/3238153.jpg,North of Beautiful,Justina Chen,3.92,35754,https://www.amazon.com/gp/product/B001P2UVC4/,373,https://www.goodreads.com/book/show/3238153-north-of-beautiful
"Fiction, Mythology, Historical Fiction, Fantasy, India, Indian Literature, Historical",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1679444666i/1774836.jpg,The Palace of Illusions,Chitra Banerjee Divakaruni,4.2,59923,https://www.amazon.com/gp/product/B001RS8L6E/,360,https://www.goodreads.com/book/show/1774836.The_Palace_of_Illusions
"Horror, Fiction, Thriller, Science Fiction, Audiobook, Fantasy, Mystery",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1549241208i/43798285.jpg,The Institute,Stephen        King,4.2,312853,https://www.amazon.com/gp/product/B07N943MFX/,561,https://www.goodreads.com/book/show/43798285-the-institute
"Historical Fiction, Fiction, Historical, Egypt, Romance, Book Club, Africa",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320449831i/481446.jpg,Nefertiti,Michelle    Moran,4.09,40174,https://www.amazon.com/gp/product/B000TWUTW8/,463,https://www.goodreads.com/book/show/481446.Nefertiti
"Nonfiction, Memoir, Biography, Audiobook, Humor, Autobiography, Biography Memoir",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347698159i/4961048.jpg,Wishful Drinking,Carrie Fisher,3.82,90287,https://www.amazon.com/gp/product/B001NLKS02/,163,https://www.goodreads.com/book/show/4961048-wishful-drinking
"Fiction, Historical Fiction, Classics, Book Club, Audiobook, Historical, Adult",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451442088i/24817626.jpg,Go Set a Watchman,Harper Lee,3.31,284232,https://www.amazon.com/gp/product/B00T3DNKIE/,278,https://www.goodreads.com/book/show/24817626-go-set-a-watchman
"Fiction, Humor, Mystery",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1267742167i/5548850.jpg,The Day Jesus Rode Into Croydon,Kirk St Moritz,3.44,256,https://www.amazon.com/gp/product/B00FLXRI7Y/,440,https://www.goodreads.com/book/show/5548850-the-day-jesus-rode-into-croydon
"Nonfiction, Mental Health, Self Help, Memoir, Psychology, Audiobook, Biography",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453057036i/25733573.jpg,Reasons to Stay Alive,Matt Haig,4.07,106957,https://www.amazon.com/gp/product/B00YOAZYWQ/,256,https://www.goodreads.com/book/show/25733573-reasons-to-stay-alive
"Young Adult, Fantasy, Paranormal, Science Fiction, Fiction, Urban Fantasy, Supernatural",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1501166713i/24766.jpg,The Secret Hour,Scott Westerfeld,3.82,30487,https://www.amazon.com/gp/product/B002BXH63S/,297,https://www.goodreads.com/book/show/24766.The_Secret_Hour
"Fiction, Science Fiction, Dystopia, Japan, Fantasy, Japanese Literature, Magical Realism",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1544335119i/37004370.jpg,The Memory Police,Yōko Ogawa,3.71,114349,https://www.amazon.com/gp/product/B077RG9JFX/,274,https://www.goodreads.com/book/show/37004370-the-memory-police
"Fantasy, Young Adult, Urban Fantasy, Romance, Paranormal, Short Stories, Young Adult Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1454864103i/28954137.jpg,Tales from the Shadowhunter Academy,Cassandra Clare,4.3,73286,https://www.amazon.com/gp/product/B01BKR47L4/,655,https://www.goodreads.com/book/show/28954137-tales-from-the-shadowhunter-academy
"Vampires, Young Adult, Paranormal, Fantasy, Urban Fantasy, Romance, Supernatural",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1268376325i/7600922.jpg,Ghost Town,Rachel Caine,4.25,37830,https://www.amazon.com/gp/product/B0040ZNZQW/,335,https://www.goodreads.com/book/show/7600922-ghost-town
"Fantasy, Young Adult, Fiction, Science Fiction, Middle Grade, Adventure, Magic",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522213238i/7005865.jpg,The Atlantis Complex,Eoin Colfer,3.97,62092,https://www.amazon.com/gp/product/B003CV7SM2/,357,https://www.goodreads.com/book/show/7005865-the-atlantis-complex
"Short Stories, Fiction, Feminism, Contemporary, Cultural, Asia, Anthologies",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1544778400i/43230472.jpg,Syrian Brides,Anna Halabi,4.2,248,https://www.amazon.com/gp/product/B07Z6Q7W1R/,134,https://www.goodreads.com/book/show/43230472-syrian-brides
"Philosophy, Classics, Nonfiction, History, Politics, Reference, Ancient",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415678006i/9462.jpg,Plato: Complete Works,Plato,4.37,11888,https://www.amazon.com/gp/product/B016R8AZNK/,1848,https://www.goodreads.com/book/show/9462.Plato
"Historical Fiction, Fiction, Book Club, Historical, School, Classics, Spanish Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411410276i/11206.jpg,In the Time of the Butterflies,Julia Alvarez,4.15,76255,https://www.amazon.com/gp/product/B07XBFZDWD/,324,https://www.goodreads.com/book/show/11206.In_the_Time_of_the_Butterflies
"Romance, New Adult, Contemporary, Contemporary Romance, College, Young Adult, Chick Lit",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348459319i/16034964.jpg,Losing It,Cora Carmack,3.71,109014,https://www.amazon.com/gp/product/B00AHCRQPI/,189,https://www.goodreads.com/book/show/16034964-losing-it
"Fantasy, Science Fiction, Fiction, Cyberpunk, Science Fiction Fantasy, Audiobook, Adventure",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329075235i/28695.jpg,City of Golden Shadow,Tad Williams,3.93,28385,https://www.amazon.com/gp/product/B005IUDRV6/,780,https://www.goodreads.com/book/show/28695.City_of_Golden_Shadow
"Fantasy, Young Adult, Mythology, Paranormal, Urban Fantasy, Magic, Romance",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1701707148i/9439989.jpg,Touch of Frost,Jennifer Estep,3.95,33531,https://www.amazon.com/gp/product/B004SIDTM6/,384,https://www.goodreads.com/book/show/9439989-touch-of-frost
"Mystery, Thriller, Young Adult, Mystery Thriller, Crime, Fiction, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1611854931i/52814139.jpg,As Good As Dead,Holly  Jackson,4.2,491301,https://www.amazon.com/gp/product/B08VFSV8VR/,565,https://www.goodreads.com/book/show/52814139-as-good-as-dead
"Historical Fiction, Drama, Novels, Contemporary, Book Club, Fiction, Romance",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629950522i/58858616.jpg,"Champagne Widows: First Woman of Champagne, Veuve Clicquot",Rebecca Rosenberg,4.3,2319,https://www.amazon.com/gp/product/B09D2HTJY9/,295,https://www.goodreads.com/book/show/58858616-champagne-widows
"Fantasy, Young Adult, Fiction, Childrens, Middle Grade, Audiobook, Adventure",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349051230i/210329.jpg,The Dark Is Rising,Susan Cooper,4.04,59678,https://www.amazon.com/gp/product/B000FBJHPS/,244,https://www.goodreads.com/book/show/210329.The_Dark_Is_Rising
"True Crime, Nonfiction, Crime, Audiobook, Biography, Memoir, Mystery",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330072383i/15654.jpg,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,4.14,107228,https://www.amazon.com/gp/product/B07F5787CB/,548,https://www.goodreads.com/book/show/15654.The_Stranger_Beside_Me
"Fiction, Mystery, Contemporary, Scotland, Thriller, Novels, Crime",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330063373i/12021.jpg,The Crow Road,Iain Banks,4.09,23715,,501,https://www.goodreads.com/book/show/12021.The_Crow_Road
"Classics, Mystery, Fiction, Short Stories, Crime, Detective, Mystery Thriller",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320490450i/3581.jpg,"Sherlock Holmes: The Complete Novels and Stories, Volume I",Arthur Conan Doyle,4.47,26927,https://www.amazon.com/gp/product/B00D5BDKBM/,1059,https://www.goodreads.com/book/show/3581.Sherlock_Holmes
"Historical Fiction, Fiction, Romance, Classics, Canada, Book Club, Historical",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309212489i/155712.jpg,Mrs. Mike,Benedict Freedman,4.15,20141,https://www.amazon.com/gp/product/B00FY5YB4C/,313,https://www.goodreads.com/book/show/155712.Mrs_Mike
"Fantasy, Young Adult, Paranormal, Romance, Mythology, Paranormal Romance, Novella",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1336124504i/13605727.jpg,Elixir,Jennifer L. Armentrout,4.32,36273,https://www.amazon.com/gp/product/B09K7YZDW9/,110,https://www.goodreads.com/book/show/13605727-elixir
"Romance, Contemporary Romance, Contemporary, Second Chance, Fiction, Historical Romance, Second Chance Romance",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386921972i/16006.jpg,Paradise,Judith McNaught,4.3,36053,https://www.amazon.com/gp/product/B01M18K9UM/,709,https://www.goodreads.com/book/show/16006.Paradise
"Mystery, Thriller, Crime, Fiction, Suspense, Mystery Thriller, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388198630i/32255.jpg,Vanish,Tess Gerritsen,4.15,70201,https://www.amazon.com/gp/product/B000FCKBMU/,401,https://www.goodreads.com/book/show/32255.Vanish
"Nonfiction, History, Audiobook, Book Club, Historical, War, World War I",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408923747i/22551730.jpg,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,4.13,154631,https://www.amazon.com/gp/product/B00N6PD3GE/,430,https://www.goodreads.com/book/show/22551730-dead-wake
"Young Adult, Fiction, Humor, Romance, Contemporary, Chick Lit, Teen",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400533444i/402013.jpg,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,3.76,134672,https://www.amazon.com/gp/product/B00CD36FMO/,247,https://www.goodreads.com/book/show/402013.Angus_Thongs_and_Full_Frontal_Snogging
"Classics, Gothic, Horror, Fiction, 18th Century, Fantasy, Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1365712491i/93157.jpg,The Monk,Matthew Gregory Lewis,3.84,31105,https://www.amazon.com/gp/product/B003F24J20/,431,https://www.goodreads.com/book/show/93157.The_Monk
"Romance, Young Adult, Contemporary, Young Adult Contemporary, Chick Lit, Fake Dating, High School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555964577i/18660447.jpg,The Fill-In Boyfriend,Kasie West,3.89,67713,https://www.amazon.com/gp/product/B00MMFN7BU/,352,https://www.goodreads.com/book/show/18660447-the-fill-in-boyfriend
"Fantasy, Urban Fantasy, Fiction, Mystery, Paranormal, Science Fiction, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1561584006i/10836728.jpg,The Rook,Daniel O'Malley,4.1,61415,https://www.amazon.com/gp/product/B004QX07EG/,504,https://www.goodreads.com/book/show/10836728-the-rook
"Finance, Business, Nonfiction, Economics, Money, Personal Finance, Self Help",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409602421i/106835.jpg,The Intelligent Investor,Benjamin Graham,4.24,142496,https://www.amazon.com/gp/product/B000FC12C8/,623,https://www.goodreads.com/book/show/106835.The_Intelligent_Investor
"Horror, Fiction, Thriller, Fantasy, Suspense, Supernatural, Paranormal",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1395764566i/10584.jpg,Desperation,Stephen        King,3.86,148697,https://www.amazon.com/gp/product/B018ER7L2A/,547,https://www.goodreads.com/book/show/10584.Desperation
"Poetry, Fiction, Mythology, Queer, LGBT, Fantasy, Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403176248i/61049.jpg,Autobiography of Red,Anne Carson,4.26,33392,https://www.amazon.com/gp/product/B00BH0VSO4/,160,https://www.goodreads.com/book/show/61049.Autobiography_of_Red
"Nonfiction, Self Help, Writing, Audiobook, Personal Development, Art, Psychology",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451446242i/24453082.jpg,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,3.96,225349,https://www.amazon.com/gp/product/1594634726/,276,https://www.goodreads.com/book/show/24453082-big-magic
"Psychology, Philosophy, Nonfiction, Self Help, Love, Relationships, Sociology",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438550243i/14142.jpg,The Art of Loving,Erich Fromm,4.0,89159,https://www.amazon.com/gp/product/B00BBPWAJC/,180,https://www.goodreads.com/book/show/14142.The_Art_of_Loving
"Chick Lit, Fiction, Romance, Contemporary, Adult Fiction, Adult, Book Club",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435252471i/14758.jpg,In Her Shoes,Jennifer Weiner,3.83,222591,https://www.amazon.com/gp/product/B000FC0Q5W/,537,https://www.goodreads.com/book/show/14758.In_Her_Shoes
"Vampires, Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Supernatural",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1462559169i/30123368.jpg,My Blood Approves,Amanda Hocking,3.82,30183,https://www.amazon.com/gp/product/B003HGGHTW/,278,https://www.goodreads.com/book/show/30123368-my-blood-approves
"Art, Nonfiction, Philosophy, Essays, Art History, Design, Photography",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1703328414i/2784.jpg,Ways of Seeing,John Berger,3.93,408445,,176,https://www.goodreads.com/book/show/2784.Ways_of_Seeing
"Science Fiction, Fiction, Audiobook, China, Fantasy, Science Fiction Fantasy, Space",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1430330507i/25451264.jpg,Death's End,Liu Cixin,4.41,151429,https://www.amazon.com/gp/product/B00WDVKZY0/,604,https://www.goodreads.com/book/show/25451264-death-s-end
"Fiction, Historical Fiction, Science Fiction, Fantasy, Historical, Speculative Fiction, Science Fiction Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407712273i/116257.jpg,The System of the World,Neal Stephenson,4.33,22745,https://www.amazon.com/gp/product/B000FC292K/,908,https://www.goodreads.com/book/show/116257.The_System_of_the_World
"Urban Fantasy, Fantasy, Paranormal, Vampires, Witches, Magic, Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1319592584i/30259.jpg,For a Few Demons More,Kim Harrison,4.32,59129,https://www.amazon.com/gp/product/B000OI0F9O/,456,https://www.goodreads.com/book/show/30259.For_a_Few_Demons_More
"Historical Fiction, Young Adult, Adventure, Pirates, Fiction, Historical, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392868382i/295649.jpg,Bloody Jack,L.A. Meyer,4.12,27347,https://www.amazon.com/gp/product/B003K16PPU/,304,https://www.goodreads.com/book/show/295649.Bloody_Jack
"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Historical, Middle Grade",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328864060i/14570.jpg,Eight Cousins,Louisa May Alcott,4.02,38758,https://www.amazon.com/gp/product/B09SBQN86K/,224,https://www.goodreads.com/book/show/14570.Eight_Cousins
"Fiction, Contemporary, Audiobook, Book Club, Humor, Adult, Adult Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1460442061i/27406704.jpg,Britt-Marie Was Here,Fredrik Backman,4.09,182953,https://www.amazon.com/gp/product/B017RNBRRW/,324,https://www.goodreads.com/book/show/27406704-britt-marie-was-here
"Fiction, Historical Fiction, Literary Fiction, Contemporary, Adult Fiction, Audiobook, Adult",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1455172144i/28114402.jpg,The Girl in the Garden,Melanie Wallace,3.44,1386,https://www.amazon.com/gp/product/B01912OUR6/,240,https://www.goodreads.com/book/show/28114402-the-girl-in-the-garden
"Fantasy, Fiction, Humor, German Literature, Audiobook, Adventure, Young Adult",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348657010i/62033.jpg,Rumo & His Miraculous Adventures,Walter Moers,4.52,12730,https://www.amazon.com/gp/product/B07MWC9NZJ/,688,https://www.goodreads.com/book/show/62033.Rumo_His_Miraculous_Adventures
"Fiction, Historical Fiction, Mystery, Thriller, Book Club, Suspense, Historical",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924850i/5360.jpg,A Painted House,John Grisham,3.77,99258,https://www.amazon.com/gp/product/B003B02P9U/,384,https://www.goodreads.com/book/show/5360.A_Painted_House
"Fiction, Japanese Literature, Contemporary, Japan, Literary Fiction, Asian Literature, Coming Of Age",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615916179i/53223710.jpg,Heaven,Mieko Kawakami,3.79,75239,https://www.amazon.com/gp/product/B086H4HDF5/,192,https://www.goodreads.com/book/show/53223710-heaven
"Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Book Club, Crime",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417981750i/21936809.jpg,The Kind Worth Killing,Peter  Swanson,3.98,223313,https://www.amazon.com/gp/product/B00JOFW596/,320,https://www.goodreads.com/book/show/21936809-the-kind-worth-killing
"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Teen",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1528211143i/8492856.jpg,What Happened to Goodbye,Sarah Dessen,3.94,89937,https://www.amazon.com/gp/product/B004RKXHT0/,402,https://www.goodreads.com/book/show/8492856-what-happened-to-goodbye
"Fiction, Historical Fiction, Contemporary, Literary Fiction, Novels, American, Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463822564i/30244626.jpg,4 3 2 1,Paul Auster,3.97,34953,https://www.amazon.com/gp/product/B01IA6FM76/,866,https://www.goodreads.com/book/show/30244626-4-3-2-1
"Historical Fiction, Fiction, Book Club, China, Historical, Audiobook, Asian Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327968416i/5960325.jpg,Shanghai Girls,Lisa See,3.92,159494,https://www.amazon.com/gp/product/B001NLL82Y/,309,https://www.goodreads.com/book/show/5960325-shanghai-girls
"Romance, Historical Fiction, Historical Romance, Historical, Fiction, Regency, Book Club",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1371398291i/12820360.jpg,Edenbrooke,Julianne Donaldson,4.33,58822,https://www.amazon.com/gp/product/B007FG9KU8/,264,https://www.goodreads.com/book/show/12820360-edenbrooke
"Thriller, Fiction, Mystery, International, Cultural, Mystery Thriller, The World",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1547505161i/43565225.jpg,Eye for Eye,J.K. Franko,4.26,4057,https://www.amazon.com/gp/product/B07PM8PM26/,432,https://www.goodreads.com/book/show/43565225-eye-for-eye
"Fantasy, Young Adult, Romance, Magic, Young Adult Fantasy, High Fantasy, Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392224823i/17399160.jpg,Snow Like Ashes,Sara Raasch,3.88,68905,https://www.amazon.com/gp/product/B00HYMBNUS/,422,https://www.goodreads.com/book/show/17399160-snow-like-ashes
"Fantasy, Urban Fantasy, Paranormal, Fiction, Mythology, Magic, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660271491i/9533378.jpg,Hounded,Kevin Hearne,4.1,90741,https://www.amazon.com/gp/product/B004J4WN0I/,304,https://www.goodreads.com/book/show/9533378-hounded
"Fiction, Book Club, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453306296i/28638480.jpg,Timbi's Dream,Max Nowaz,4.36,590,https://www.amazon.com/gp/product/B07YJ1LFD8/,0,https://www.goodreads.com/book/show/28638480-timbi-s-dream
"Business, Nonfiction, Management, Leadership, Productivity, Entrepreneurship, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521104315i/39286958.jpg,Measure What Matters,John Doerr,3.98,35607,https://www.amazon.com/gp/product/B078FZ9SYB/,299,https://www.goodreads.com/book/show/39286958-measure-what-matters
"Fantasy, Fiction, Audiobook, High Fantasy, Polish Literature, Adventure, Epic Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1443279182i/18656031.jpg,Baptism of Fire,Andrzej Sapkowski,4.26,133431,https://www.amazon.com/gp/product/B00FPQA4KK/,349,https://www.goodreads.com/book/show/18656031-baptism-of-fire
"Fantasy, Young Adult, Romance, Magic, High Fantasy, Young Adult Fantasy, Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1345041697i/8069828.jpg,The Crimson Crown,Cinda Williams Chima,4.46,45890,https://www.amazon.com/gp/product/B008UZIKDG/,598,https://www.goodreads.com/book/show/8069828-the-crimson-crown
"Fiction, Book Club, Mystery, Historical Fiction, Coming Of Age, Audiobook, Literary Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358264094i/15803059.jpg,Ordinary Grace,William Kent Krueger,4.27,177444,https://www.amazon.com/gp/product/B008J2G5Y6/,307,https://www.goodreads.com/book/show/15803059-ordinary-grace
"Mystery, Young Adult, Romance, Fiction, Mystery Thriller, Fantasy, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664812464i/62804258.jpg,The Brothers Hawthorne,Jennifer Lynn Barnes,3.91,131485,https://www.amazon.com/gp/product/B0BGHFGT3F/,480,https://www.goodreads.com/book/show/62804258-the-brothers-hawthorne
"Classics, Plays, German Literature, Fiction, Drama, School, Read For School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1414321871i/452220.jpg,Die Physiker,Friedrich Dürrenmatt,3.89,39970,https://www.amazon.com/gp/product/B07985L4GK/,95,https://www.goodreads.com/book/show/452220.Die_Physiker
"Psychology, Nonfiction, Self Help, Mental Health, Health, Counselling, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400854365i/384924.jpg,Waking the Tiger: Healing Trauma,Peter A. Levine,4.07,9390,https://www.amazon.com/gp/product/B0BMW8VS88/,288,https://www.goodreads.com/book/show/384924.Waking_the_Tiger
"Business, Nonfiction, Leadership, Management, Entrepreneurship, Buisness, Self Help",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1369869853i/13586928.jpg,Playing to Win: How Strategy Really Works,A.G. Lafley,3.99,8419,https://www.amazon.com/gp/product/B00AJVJ1HI/,272,https://www.goodreads.com/book/show/13586928-playing-to-win
"History, Nonfiction, War, Military Fiction, Military History, American History, Politics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1326474263i/448135.jpg,The Coldest Winter: America and the Korean War,David Halberstam,4.22,9103,https://www.amazon.com/gp/product/B000UZNSWM/,734,https://www.goodreads.com/book/show/448135.The_Coldest_Winter
"Classics, Fiction, Literature, American, Novels, Historical Fiction, 20th Century",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386921801i/259020.jpg,The Golden Bowl,Henry James,3.77,11660,https://www.amazon.com/gp/product/B09HQNHB1F/,591,https://www.goodreads.com/book/show/259020.The_Golden_Bowl
"Fiction, Classics, Historical Fiction, Literature, Philosophy, Novels, 20th Century",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1727069607i/358846.jpg,Death and the Dervish,Meša Selimović,4.51,10557,https://www.amazon.com/gp/product/B00IBDN8Y8/,473,https://www.goodreads.com/book/show/358846.Death_and_the_Dervish
"Self Help, Nonfiction, Psychology, Personal Development, Audiobook, Mental Health, Poetry",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1590806892i/53642699.jpg,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,4.07,93321,https://www.amazon.com/gp/product/B089DQRDSV/,250,https://www.goodreads.com/book/show/53642699-the-mountain-is-you
"Plays, Classics, Fiction, Drama, Historical Fiction, School, Theatre",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388290640i/253264.jpg,Inherit the Wind: The Powerful Courtroom Drama in which Two Men Wage the Legal War of the Century,Jerome Lawrence,3.93,23832,https://www.amazon.com/gp/product/B01KE67DT0/,129,https://www.goodreads.com/book/show/253264.Inherit_the_Wind
"Historical Fiction, Fiction, Literary Fiction, Historical, Coming Of Age, Book Club, Contemporary",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1572992238i/48564330.jpg,Betty,Tiffany   McDaniel,4.41,47998,https://www.amazon.com/gp/product/B07ZC7SV5H/,480,https://www.goodreads.com/book/show/48564330-betty
"Christian, Theology, Reference, Christianity, Religion, Nonfiction, Faith",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1410151002i/5031805.jpg,ESV Study Bible,Anonymous,4.74,15989,https://www.amazon.com/gp/product/B001CDWFPC/,2752,https://www.goodreads.com/book/show/5031805-esv-study-bible
"Romance, Fiction, Contemporary, Chick Lit, Audiobook, Adult, Book Club",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1539892322i/27774596.jpg,After You,Jojo Moyes,3.74,403715,https://www.amazon.com/gp/product/B00TY3ZKG8/,352,https://www.goodreads.com/book/show/27774596-after-you
"Business, Entrepreneurship, Nonfiction, Management, Design, Buisness, Leadership",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384676138i/7723797.jpg,Business Model Generation,Alexander Osterwalder,4.21,57816,https://www.amazon.com/gp/product/B06X426D4F/,273,https://www.goodreads.com/book/show/7723797-business-model-generation
"History, Nonfiction, Biography, Adventure, Book Club, Travel, Presidents",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1430014768i/78508.jpg,The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,4.2,73124,https://www.amazon.com/gp/product/B000Q9ITGW/,416,https://www.goodreads.com/book/show/78508.The_River_of_Doubt
,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1624804527i/58436763.jpg,The Son,Robert         Reid,4.43,249,https://www.amazon.com/gp/product/B097XGM3JJ/,340,https://www.goodreads.com/book/show/58436763-the-son
"Romance, New Adult, Contemporary, Contemporary Romance, Enemies To Lovers, Second Chance, Adult",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407407844i/22843341.jpg,Stepbrother Dearest,Penelope Ward,4.03,72969,https://www.amazon.com/gp/product/B00NVY6JPC/,230,https://www.goodreads.com/book/show/22843341-stepbrother-dearest
